%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1438351930607814991,132033,1438351930607814991,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0138592263684,-0.0290063973516,0.0100373132154,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0647386610508,-1.4252165556,9.45525741577,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930617935154,132034,1438351930617935154,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0141619360074,-0.0302727427334,0.0100688105449,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0615885406733,-1.43832182884,9.47177219391,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930627967817,132035,1438351930627967817,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0143604362383,-0.0324568003416,0.00880192220211,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0424540527165,-1.43478643894,9.45509910583,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930638138781,132036,1438351930638138781,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0141783589497,-0.031006205827,0.00931310560554,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0230439640582,-1.41421568394,9.43992996216,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930648342179,132037,1438351930648342179,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0141415130347,-0.0289688613266,0.00945109222084,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0444385670125,-1.41610264778,9.45655345917,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930660172983,132038,1438351930660172983,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013979983516,-0.0314135588706,0.00857630651444,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0611421614885,-1.4313699007,9.46681594849,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930670434321,132039,1438351930670434321,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0151654770598,-0.032207954675,0.00852311123163,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0343796759844,-1.4291779995,9.43625354767,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930680491964,132040,1438351930680491964,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015182249248,-0.0303934663534,0.00915178842843,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.038781363517,-1.43070101738,9.43584728241,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930692811879,132041,1438351930692811879,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0143143637106,-0.0298449303955,0.00971803907305,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0456463359296,-1.43661391735,9.47888183594,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930704560743,132042,1438351930704560743,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0142984632403,-0.0300399959087,0.00919691193849,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0363065637648,-1.42640423775,9.47202396393,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930714774892,132043,1438351930714774892,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0137345055118,-0.0299860872328,0.00876419525594,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0519700050354,-1.42645823956,9.48514842987,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930724867846,132044,1438351930724867846,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0141967916861,-0.0304869282991,0.00860525295138,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.054729051888,-1.44171154499,9.46900463104,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930736848120,132045,1438351930736848120,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0139922676608,-0.0310061853379,0.00794937927276,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0576577223837,-1.43249952793,9.47095584869,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930746873313,132046,1438351930746873313,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0143154114485,-0.0309377163649,0.00838567968458,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0585587397218,-1.42689836025,9.48583602905,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930759056365,132047,1438351930759056365,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0147603815421,-0.0306456647813,0.008355345577,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0470754392445,-1.42629122734,9.45305156708,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930771021304,132048,1438351930771021304,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0139129851013,-0.0300153438002,0.00867230258882,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0476452745497,-1.43423891068,9.46919536591,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930781299090,132049,1438351930781299090,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0132084582001,-0.0304424744099,0.00922611355782,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0423337109387,-1.43463122845,9.44470882416,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930793239056,132050,1438351930793239056,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0145053397864,-0.0304678659886,0.0100177824497,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0465246364474,-1.428576231,9.45724582672,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930803349135,132051,1438351930803349135,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0144481481984,-0.0302872490138,0.0092881815508,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0521981157362,-1.4383109808,9.48023891449,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930813459033,132052,1438351930813459033,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0138194523752,-0.0309957358986,0.00847470574081,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0525162927806,-1.42889642715,9.49805259705,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930823365225,132053,1438351930823365225,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0139844445512,-0.0315150544047,0.00889394525439,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0567484609783,-1.43317723274,9.47890949249,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930833476466,132054,1438351930833476466,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0146275507286,-0.0307228974998,0.00994473788887,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0682762339711,-1.43361997604,9.46007537842,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930843598743,132055,1438351930843598743,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014984565787,-0.0301868766546,0.0096153113991,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0625654459,-1.42292177677,9.48561859131,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930855614454,132056,1438351930855614454,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0138904415071,-0.0304728411138,0.00876433309168,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0530340783298,-1.42184484005,9.46687221527,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
1438351930867771597,132057,1438351930867771597,fcu,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0146821904927,-0.0302641261369,0.00862530618906,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,0.0,0.0,0.0,1.21846967915e-07,-0.0582805685699,-1.41877603531,9.45942497253,9e-08,0.0,0.0,0.0,9e-08,0.0,0.0,0.0,9e-08
